news_title,news_details,writer_name,picture,date_of_release
New Tech Park Inaugurated in Dhaka,The government has inaugurated a new technology park aimed at boosting the startup ecosystem.,Mabrur Ahmed,tech_park.jpg,2026-01-10
Bangladesh Wins Regional Robotics Competition,A team of university students secured first place in an international robotics competition.,Sara Rahman,robotics_team.jpg,2026-01-08
New Metro Rail Line Opens to Public,The newly completed metro rail line is expected to ease traffic congestion in the capital.,Tanvir Hasan,metro_rail.jpg,2026-01-05
Startup Funding Reaches Record High,Local startups have raised a record amount of funding in the last quarter.,Nusrat Jahan,startup_funding.jpg,2026-01-03
AI-Based Traffic System Launched,An AI-powered traffic management system has been launched to reduce congestion.,Arif Hossain,ai_traffic.jpg,2026-01-01
University Introduces New Robotics Lab,A state-of-the-art robotics lab has been opened for engineering students.,Farhana Islam,robotics_lab.jpg,2025-12-28
Solar Power Adoption Increases Nationwide,More households are switching to solar energy amid rising electricity costs.,Kamal Uddin,solar_power.jpg,2025-12-26
E-commerce Sales Surge During Winter,Online shopping platforms report a significant increase in winter sales.,Riya Chowdhury,ecommerce_sales.jpg,2025-12-24
New Mobile App Launched for Students,A new mobile application helps students track academic progress and deadlines.,Imran Kabir,student_app.jpg,2025-12-22
Smart Farming Technology Gains Popularity,Farmers are adopting smart farming tools to improve crop yield.,Shabnam Akter,smart_farming.jpg,2025-12-20
Cyber Security Awareness Campaign Launched,A nationwide campaign has been launched to raise cyber security awareness.,Hasan Mahmud,cyber_security.jpg,2025-12-18
Local Game Studio Releases New Indie Game,A local game development studio released a new indie title worldwide.,Tariq Islam,indie_game.jpg,2025-12-15
